Recorded_taxa	Status	MinT	MaxT
Lytoceras_fimbriatum	extinct	188.8	189.5
Lytoceras_fimbriatum	extinct	188.4	188.8
Lytoceras_fimbriatum	extinct	188.24	188.4
Lytoceras_fimbriatum	extinct	188.21	188.24
Lytoceras_fimbriatum	extinct	188	188.21
Lytoceras_fimbriatum	extinct	188	192.9
Lytoceras_fimbriatum	extinct	188.8	189.5
Lytoceras_fimbriatum	extinct	188	188.4
Lytoceras_fimbriatum	extinct	188.8	189.5
Lytoceras_fimbriatum	extinct	188.4	188.8
Lytoceras_fimbriatum	extinct	188.24	188.4
Lytoceras_fimbriatum	extinct	188.21	188.24
Lytoceras_fimbriatum	extinct	188	188.21
Lytoceras_fimbriatum	extinct	188.4	188.8
Lytoceras_fimbriatum	extinct	188	188.21
Lytoceras_fimbriatum	extinct	188	192.9
Lytoceras_fimbriatum	extinct	189.5	190.2
Lytoceras_fimbriatum	extinct	188.4	188.8
Lytoceras_fimbriatum	extinct	188	188.4
Lytoceras_fimbriatum	extinct	188	192.9
Lytoceras_fimbriatum	extinct	188	190.2
Lytoceras_fimbriatum	extinct	190.2	190.54
Lytoceras_altum	extinct	188.4	191.84
Lytoceras_fimbriatum	extinct	190.2	192.9
Lytoceras_fimbriatum	extinct	188.8	192.9
Lytoceras_fimbriatum	extinct	188	192.9
Lytoceras_fimbriatum	extinct	188	192.9
Lytoceras_fimbriatum	extinct	188	188.4
Lytoceras_fimbriatum	extinct	188.4	188.8
Lytoceras_fimbriatum	extinct	190.2	190.54
Lytoceras_galatiforme	extinct	191.84	192.9
Lytoceras_fimbriatum	extinct	190.2	192.9
Lytoceras_fimbriatum	extinct	190.2	191.84
Lytoceras_fimbriatum	extinct	188.4	190.2
Lytoceras_fimbriatum	extinct	188.4	192.9
Lytoceras_fimbriatum	extinct	188	190.2
Lytoceras_fimbriatum	extinct	188.4	190.2
Lytoceras_fimbriatum	extinct	188.8	189.5
Lytoceras_fimbriatum	extinct	189.5	190.2
Lytoceras_fimbriatum	extinct	188.8	189.5
Lytoceras_fimbriatum	extinct	188.4	188.8
Lytoceras_fimbriatum	extinct	188.24	188.4
Lytoceras_fuggeri	extinct	192.9	194.44
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	185.55	188
Lytoceras_fimbriatum	extinct	184.2	185.55
Lytoceras_fimbriatum	extinct	184.2	185.55
Juraphyllites_sp._A	extinct	188.4	192.9
Zetoceras_zetes	extinct	188.4	192.9
Phylloceras_hebertinum	extinct	188.4	192.9
Zetoceras_zetes	extinct	188.4	194.44
Phylloceras_hebertinum	extinct	188.4	194.44
Phylloceras_hebertinum	extinct	188	192.9
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188	188.4
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188	188.4
Zetoceras_zetes	extinct	188	192.9
Zetoceras_zetes	extinct	188	192.9
Zetoceras_zetes	extinct	190.2	190.54
Phylloceras_hebertinum	extinct	188	192.9
Phylloceras_hebertinum	extinct	190.2	192.9
Phylloceras_hebertinum	extinct	188.24	188.4
Calaiceras_calais	extinct	188.4	188.8
Zetoceras_zetes	extinct	188	192.9
Phylloceras_hebertinum	extinct	188	192.9
Calaiceras_calais	extinct	188	192.9
Phylloceras_hebertinum	extinct	188	192.9
Tragophylloceras_loscombi	extinct	188.4	188.8
Phylloceras_hebertinum	extinct	188.4	188.8
Zetoceras_zetes	extinct	188	192.9
Phylloceras_hebertinum	extinct	188	188.4
Phylloceras_hebertinum	extinct	188	192.9
Calaiceras_calais	extinct	188	192.9
Zetoceras_zetes	extinct	188	188.4
Calaiceras_calais	extinct	188	188.4
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188.8	189.5
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188	188.4
Tragophylloceras_loscombi	extinct	188.21	188.24
Tragophylloceras_loscombi	extinct	188.4	190.2
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188.4	189.5
Tragophylloceras_loscombi	extinct	188.24	188.4
Zetoceras_zetes	extinct	188	188.4
Zetoceras_zetes	extinct	188	192.9
Zetoceras_zetes	extinct	188.8	189.5
Zetoceras_zetes	extinct	188.24	188.8
Zetoceras_iudicariense_sensu_GM	extinct	191.84	192.9
Phylloceras_hebertinum	extinct	188	188.4
Phylloceras_hebertinum	extinct	188	192.9
Calaiceras_calais	extinct	188	188.4
Calaiceras_calais	extinct	188.8	189.5
Calaiceras_calais	extinct	188.4	189.5
Calaiceras_calais	extinct	188.24	188.8
Phylloceras_hebertinum	extinct	191.84	192.9
Zetoceras_zetes	extinct	188	192.9
Zetoceras_zetes	extinct	191.84	192.9
Zetoceras_zetes	extinct	190.2	191.84
Phylloceras_hebertinum	extinct	188	192.9
Phylloceras_hebertinum	extinct	191.84	192.9
Calaiceras_calais	extinct	190.2	192.9
Calaiceras_calais	extinct	188	192.9
Phylloceras_hebertinum	extinct	188	192.9
Zetoceras_zetes	extinct	188	192.9
Phylloceras_hebertinum	extinct	188	192.9
Zetoceras_zetes	extinct	188	192.9
Phylloceras_hebertinum	extinct	188.8	189.5
Calaiceras_calais	extinct	188	192.9
Phylloceras_hebertinum	extinct	188.4	192.9
Calaiceras_calais	extinct	188.4	192.9
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188.4	188.8
Tragophylloceras_loscombi	extinct	188.21	188.24
Tragophylloceras_loscombi	extinct	188	189.5
Zetoceras_zetes	extinct	188	192.9
Phylloceras_hebertinum	extinct	188	192.9
Phylloceras_hebertinum	extinct	188.4	190.2
Phylloceras_hebertinum	extinct	188	190.2
Zetoceras_zetes	extinct	190.2	192.9
Phylloceras_hebertinum	extinct	190.2	192.9
Calaiceras_calais	extinct	190.2	192.9
Phylloceras_hebertinum	extinct	188	192.9
Zetoceras_zetes	extinct	190.2	192.9
Phylloceras_hebertinum	extinct	191.84	192.9
Phylloceras_hebertinum	extinct	190.54	191.84
Phylloceras_hebertinum	extinct	189.5	190.2
Calaiceras_calais	extinct	190.54	191.84
Zetoceras_zetes	extinct	188.4	192.9
Phylloceras_hebertinum	extinct	188.4	190.54
Calaiceras_calais	extinct	188.4	192.9
Tragophylloceras_loscombi	extinct	188	189.5
Tragophylloceras_loscombi	extinct	188.21	188.24
Tragophylloceras_loscombi	extinct	188.4	190.2
Tragophylloceras_loscombi	extinct	188.4	190.2
Phylloceras_hebertinum	extinct	192.9	194.44
Phylloceras_hebertinum	extinct	192.9	194.44
Zetoceras_zetes	extinct	192.9	196.37
Zetoceras_zetes	extinct	192.9	196.37
Zetoceras_zetes	extinct	195.22	196.37
Zetoceras_zetes	extinct	192.9	196.37
Zetoceras_zetes	extinct	192.9	194.44
Zetoceras_iudicariense_sensu_GM	extinct	192.9	194.44
Calaiceras_calais	extinct	192.9	194.44
Zetoceras_zetes	extinct	185.55	188
Zetoceras_zetes	extinct	185.55	188
Zetoceras_zetes	extinct	184.2	185.55
Zetoceras_zetes	extinct	184.2	185.55
Zetoceras_zetes	extinct	183.16	184.2
Calaiceras_calais	extinct	185.55	188
Calaiceras_calais	extinct	185.55	188
Calaiceras_calais	extinct	185.55	188
Calaiceras_calais	extinct	183.16	184.2
Tragophylloceras_loscombi	extinct	185.55	188
Phylloceras_hebertinum	extinct	185.55	188
Phylloceras_hebertinum	extinct	185.55	188
Phylloceras_hebertinum	extinct	185.55	188
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	189.5	190.54
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	190.2	190.54
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	190.2	190.54
Tropidoceras_flandrini	extinct	189.5	190.2
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	190.2	190.54
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	190.2	190.54
Tropidoceras_flandrini	extinct	190.2	190.54
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	190.2	190.54
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	188.8	190.54
Tropidoceras_flandrini	extinct	190.2	190.54
Tropidoceras_flandrini	extinct	189.5	190.2
Calliphylloceras_bicicolae	extinct	188.4	194.44
Calliphylloceras_bicicolae	extinct	188	192.9
Calliphylloceras_bicicolae	extinct	188.4	188.8
Calliphylloceras_bicicolae	extinct	188	192.9
Calliphylloceras_bicicolae	extinct	188	190.2
Calliphylloceras_bicicolae	extinct	188	192.9
Calliphylloceras_bicicolae	extinct	188	188.4
Calliphylloceras_bicicolae	extinct	188	188.4
Calliphylloceras_bicicolae	extinct	188	188.4
Calliphylloceras_bicicolae	extinct	188	192.9
Calliphylloceras_bicicolae	extinct	188.8	189.5
Calliphylloceras_bicicolae	extinct	190.2	191.84
Calliphylloceras_bicicolae	extinct	188.4	192.9
Calliphylloceras_bicicolae	extinct	188.4	190.2
Calliphylloceras_bicicolae	extinct	190.2	192.9
Calliphylloceras_bicicolae	extinct	190.54	191.84
Calliphylloceras_bicicolae	extinct	189.5	190.2
Calliphylloceras_bicicolae	extinct	188.8	189.5
Calliphylloceras_bicicolae	extinct	188.4	192.9
Calliphylloceras_bicicolae	extinct	185.55	188
Calliphylloceras_bicicolae	extinct	185.55	188
Calliphylloceras_bicicolae	extinct	185.55	188
Calliphylloceras_bicicolae	extinct	185.55	188
Calliphylloceras_bicicolae	extinct	184.2	185.55
Calliphylloceras_bicicolae	extinct	183.16	185.55
Calliphylloceras_bicicolae	extinct	184.2	185.55
Jamesonites_reticulatus	extinct	191.84	192.9
Fuciniceras_balatonense	extinct	188	188.4
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	188.4
Harpophylloceras_eximus	extinct	188.8	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	188	189.5
Harpophylloceras_eximus	extinct	185.55	188
Harpophylloceras_eximus	extinct	185.55	188
Harpophylloceras_eximus	extinct	185.55	188
Harpophylloceras_eximus	extinct	185.55	188
Villania_densilobata	extinct	190.78	191.84
Villania_densilobata	extinct	191.84	192.9
Villania_densilobata	extinct	190.78	192.9
Partschiceras_striatocostatum	extinct	188.4	192.9
Partschiceras_striatocostatum	extinct	188.4	194.44
Partschiceras_striatocostatum	extinct	188.8	189.5
Partschiceras_striatocostatum	extinct	188	192.9
Partschiceras_striatocostatum	extinct	188	192.9
Partschiceras_striatocostatum	extinct	188	192.9
Partschiceras_striatocostatum	extinct	188	188.4
Partschiceras_striatocostatum	extinct	188.8	189.5
Partschiceras_striatocostatum	extinct	188.24	190.54
